lat_cell,lon_cell,continent,year,n_rec,S_obs,S_rare10
-16.4,46.8,africa,2023,12,10,8.636
13.4,-16.8,africa,2025,38,24,9.07
13.5,-15.0,africa,2023,5,3,
0.0,32.4,africa,2025,24,24,12.329
-25.0,31.5,africa,2023,49,33,11.211
29.8,-7.3,africa,2024,19,12,8.197
33.0,-7.3,africa,2025,26,17,9.858
0.4,33.1,africa,2025,9,7,
-1.6,10.5,africa,2025,20,16,12.561
0.2,29.9,africa,2023,96,34,8.314
-19.1,48.4,africa,2024,10,8,8.0
9.6,-13.6,africa,2025,4,3,
12.5,-16.6,africa,2025,2,3,
-25.0,31.5,africa,2024,124,50,9.928
-3.4,39.9,africa,2024,178,68,10.026
0.9,17.1,africa,2024,2,2,
-24.0,28.3,africa,2023,64,27,8.076
-24.6,30.8,africa,2023,1,2,
-15.6,46.8,africa,2023,6,6,
10.8,19.7,africa,2025,19,20,12.305
9.5,-13.8,africa,2025,1,1,
23.2,-16.1,africa,2025,1,1,
-1.0,36.6,africa,2023,25,16,8.939
-24.7,31.5,africa,2023,272,75,9.833
0.7,34.3,africa,2024,3,3,
-12.5,15.1,africa,2023,1,1,
0.8,17.0,africa,2024,6,7,
-16.6,35.0,africa,2024,48,43,16.042
0.8,30.0,africa,2023,61,34,8.81
-3.4,29.3,africa,2025,21,23,15.263
-0.4,37.3,africa,2024,151,56,10.777
-23.0,29.6,africa,2023,203,52,9.12
-3.6,29.4,africa,2025,13,12,9.65
23.8,-14.6,africa,2025,1,1,
-2.8,20.2,africa,2023,89,59,11.249
-1.1,29.7,africa,2023,32,28,9.637
-21.3,47.3,africa,2023,4,4,
-1.7,29.5,africa,2025,12,10,8.636
-3.2,29.5,africa,2024,26,15,8.93
-14.8,26.3,africa,2023,295,95,9.869
-0.6,34.4,africa,2023,10,8,8.0
-25.0,31.5,africa,2025,34,28,10.731
0.9,21.1,africa,2023,2,2,
0.3,30.0,africa,2025,68,18,6.82
-24.4,31.7,africa,2025,4,8,
0.2,34.8,africa,2024,129,58,10.625
-25.0,31.7,africa,2024,3,4,
-0.4,37.3,africa,2025,11,7,6.636
13.9,-14.9,africa,2024,1,1,
30.9,-6.9,africa,2024,4,3,
6.2,-0.6,africa,2024,46,32,9.356
9.0,7.4,africa,2023,7,6,
-21.3,47.4,africa,2024,14,7,5.725
-14.3,33.4,africa,2023,25,20,9.144
-21.5,32.0,africa,2024,26,22,9.846
-18.9,32.5,africa,2024,4,3,
-22.3,28.9,africa,2023,326,91,9.992
29.7,-6.1,africa,2023,2,3,
-3.3,39.9,africa,2025,746,55,11.819
-24.5,27.8,africa,2025,2,2,
12.6,17.5,africa,2025,4,3,
-21.3,47.4,africa,2023,2,2,
-0.4,34.6,africa,2023,7,5,
5.8,-7.4,africa,2023,37,31,10.405
-18.8,48.4,africa,2023,4,4,
-28.4,32.4,africa,2024,12,17,14.636
11.7,13.3,africa,2024,7,6,
-25.6,31.9,africa,2024,1,3,
-3.2,40.1,africa,2024,35,16,7.118
12.8,17.5,africa,2025,9,9,
12.6,-1.3,africa,2025,6,11,
-16.4,46.8,africa,2024,15,13,10.553
12.2,18.8,africa,2025,2,3,
-4.5,35.4,africa,2023,23,15,8.223
0.1,37.4,africa,2024,4,3,
13.1,17.2,africa,2025,21,21,12.909
-2.7,36.7,africa,2024,8,5,
-3.2,37.2,africa,2024,21,11,7.306
-3.3,35.6,africa,2023,12,11,9.318
-0.6,34.5,africa,2023,32,21,8.802
-28.3,32.4,africa,2025,1,1,
36.2,8.7,africa,2023,1,1,
-12.5,31.2,africa,2023,16,10,7.589
-15.3,28.4,africa,2024,11,11,10.0
9.2,-1.9,africa,2024,51,30,9.111
-9.7,14.0,africa,2023,6,6,
12.9,-16.8,africa,2023,50,35,10.974
-3.4,39.9,africa,2025,102,41,16.736
-0.7,34.4,africa,2023,29,20,8.924
-21.8,15.6,africa,2024,4,3,
0.3,34.8,africa,2023,75,43,9.367
-34.4,18.8,africa,2024,16,15,11.081
-7.8,38.2,africa,2024,10,8,8.0
30.3,-9.6,africa,2024,15,13,10.593
-0.7,30.9,africa,2023,1,1,
13.3,-13.4,africa,2024,18,11,7.647
0.2,34.8,africa,2025,30,20,8.818
2.5,34.6,africa,2024,1,2,
-0.6,34.2,africa,2023,13,9,7.692
5.6,-0.1,africa,2024,18,13,8.235
-28.8,26.0,africa,2023,4,4,
-0.7,34.5,africa,2023,27,16,8.241
10.8,19.7,africa,2024,31,26,10.435
5.2,-2.7,africa,2024,56,42,9.715
-0.3,29.9,africa,2025,36,30,12.408
13.3,-16.8,africa,2025,9,7,
31.1,-7.9,africa,2024,11,8,7.545
-3.4,29.3,africa,2024,24,21,13.458
-4.8,12.3,africa,2023,14,7,6.374
-19.0,48.4,africa,2024,77,41,13.951
5.5,-7.2,africa,2024,5,4,
31.2,-7.9,africa,2025,14,8,6.44
-18.9,47.4,africa,2025,7,4,
-25.2,28.2,africa,2023,3,3,
0.1,38.1,africa,2024,24,32,15.748
6.9,-1.3,africa,2025,1,1,
-25.4,31.7,africa,2024,2,2,
-33.1,18.0,africa,2024,23,21,10.789
2.2,31.5,africa,2025,27,24,10.981
-17.4,14.2,africa,2025,1,1,
-25.2,28.7,africa,2023,1,1,
0.1,38.1,africa,2025,9,17,
-0.5,36.1,africa,2024,1,1,
-2.7,38.3,africa,2023,26,29,14.6
-15.9,34.7,africa,2024,29,26,14.343
-1.9,30.7,africa,2025,25,25,13.902
-24.1,31.7,africa,2024,9,8,
-25.2,31.9,africa,2024,23,13,7.258
-29.3,26.1,africa,2023,3,6,
12.3,-1.5,africa,2025,43,35,14.046
-0.8,34.1,africa,2023,38,24,8.71
-0.9,36.3,africa,2024,7,11,
-25.1,31.5,africa,2024,32,19,9.39
-25.0,31.6,africa,2024,51,29,10.635
7.6,-11.0,africa,2023,70,44,11.536
-15.7,46.3,africa,2023,12,6,5.167
-25.1,31.6,africa,2023,8,8,
-3.8,35.9,africa,2023,8,8,
-14.4,34.2,africa,2023,2,2,
0.5,37.5,africa,2024,4,6,
-25.2,27.8,africa,2024,9,14,
0.1,32.5,africa,2025,14,16,12.439
-28.4,28.0,africa,2023,1,1,
-25.0,31.6,africa,2023,29,24,12.066
-25.2,28.8,africa,2024,2,5,
-0.8,36.4,africa,2024,10,9,9.0
-25.2,31.6,africa,2023,4,5,
0.4,30.3,africa,2025,32,22,9.377
-0.7,34.3,africa,2023,43,36,9.651
13.2,-16.6,africa,2024,1,2,
-1.4,36.8,africa,2023,17,16,11.728
-14.9,35.2,africa,2024,44,38,12.274
11.8,-15.9,africa,2023,22,12,7.135
-13.7,29.1,africa,2023,29,25,9.791
-25.2,31.2,africa,2025,16,11,8.304
-1.3,31.3,africa,2023,5,5,
10.8,19.8,africa,2024,19,17,10.441
36.4,4.1,africa,2024,4,4,
-3.4,36.5,africa,2024,13,32,26.531
-0.6,36.6,africa,2024,8,6,
1.7,31.7,africa,2025,89,26,10.678
0.4,32.4,africa,2025,17,13,9.908
-28.4,32.4,africa,2025,11,9,8.636
-3.2,37.2,africa,2025,15,13,9.381
-19.8,33.0,africa,2024,20,9,6.756
12.3,-12.3,africa,2023,1,1,
-22.8,31.1,africa,2025,2,7,
-25.1,31.5,africa,2023,9,9,
33.0,-7.3,africa,2023,6,9,
-2.3,33.7,africa,2023,4,2,
-1.5,29.7,africa,2025,14,11,9.67
1.0,13.8,africa,2024,12,12,10.318
-9.0,33.5,africa,2024,5,7,
-28.4,31.8,africa,2024,2,6,
-3.3,37.5,africa,2024,1,1,
-29.4,31.3,africa,2024,34,25,12.846
7.5,-11.4,africa,2023,11,9,8.364
13.5,-16.6,africa,2025,52,29,9.947
-13.9,29.3,africa,2024,1,5,
-25.2,31.2,africa,2024,8,16,
-34.2,18.4,africa,2025,8,10,
-3.3,36.7,africa,2023,11,9,8.364
-10.6,33.7,africa,2023,18,14,9.167
-34.0,18.4,africa,2025,209,37,9.329
-34.9,20.0,africa,2024,4,4,
-3.0,37.5,africa,2023,20,18,10.184
-25.1,31.8,africa,2024,5,7,
13.5,-14.8,africa,2025,27,18,9.398
-15.4,35.2,africa,2024,13,9,7.958
-1.8,29.2,africa,2025,2,3,
-34.1,18.3,africa,2025,51,18,8.094
13.4,-16.8,africa,2023,15,10,7.549
-13.8,29.2,africa,2024,2,2,
-7.9,35.8,africa,2023,19,42,31.458
-12.5,27.6,africa,2023,11,8,7.545
13.3,-13.4,africa,2023,14,14,10.879
13.0,-13.3,africa,2023,4,4,
-33.3,18.1,africa,2024,10,8,8.0
0.6,37.6,africa,2024,20,13,7.878
13.3,-16.8,africa,2023,4,4,
10.9,19.9,africa,2025,6,2,
-14.7,22.6,africa,2025,2,1,
16.3,-16.3,africa,2024,6,6,
12.6,-16.6,africa,2023,9,6,
-25.2,28.1,africa,2025,10,9,9.0
12.7,17.5,africa,2025,3,3,
31.2,-4.2,africa,2024,6,6,
0.2,38.1,africa,2024,3,6,
16.4,-15.1,africa,2025,1,1,
12.9,-16.6,africa,2023,9,6,
-1.3,36.8,africa,2023,43,34,12.0
31.1,-4.1,africa,2024,8,6,
-17.9,19.8,africa,2024,5,4,
9.6,-13.7,africa,2025,2,2,
-13.0,28.3,africa,2023,31,20,8.555
11.8,13.1,africa,2023,2,3,
-34.1,23.3,africa,2025,2,3,
13.5,-14.8,africa,2023,1,2,
1.7,31.5,africa,2025,317,59,14.346
-34.1,18.4,africa,2025,30,22,9.9
16.5,-14.6,africa,2025,3,2,
5.8,0.0,africa,2024,35,24,8.996
-1.5,10.5,africa,2025,36,31,15.56
-1.4,36.7,africa,2023,16,13,8.875
7.9,-13.0,africa,2023,9,8,
6.2,-5.1,africa,2024,21,15,8.852
10.9,19.8,africa,2025,1,1,
-27.0,21.8,africa,2024,2,3,
-34.1,18.7,africa,2025,1,6,
12.4,-12.1,africa,2024,2,2,
-3.0,37.5,africa,2024,5,6,
-33.5,24.8,africa,2023,3,4,
-18.8,48.4,africa,2024,12,18,16.409
-0.4,11.7,africa,2024,38,33,10.974
13.4,-15.9,africa,2023,6,6,
10.6,19.8,africa,2024,9,7,
13.0,-16.8,africa,2023,15,11,8.615
12.3,-12.4,africa,2024,21,16,8.942
14.2,-16.9,africa,2025,6,6,
-25.1,31.5,africa,2025,1,2,
16.0,-16.5,africa,2024,7,6,
-29.8,30.7,africa,2025,50,33,9.6
-33.4,24.2,africa,2025,2,2,
-33.5,25.7,africa,2023,6,6,
-13.0,33.0,africa,2025,2,1,
-30.3,30.6,africa,2023,146,80,11.608
-3.4,36.8,africa,2023,11,11,10.0
14.0,-16.2,africa,2024,1,1,
-33.9,18.6,africa,2025,103,40,11.252
-3.8,36.0,africa,2023,31,28,9.519
-23.7,43.6,africa,2023,6,3,
33.4,-5.2,africa,2025,30,9,5.478
6.1,-1.4,africa,2024,72,47,9.497
-33.0,24.6,africa,2025,12,12,10.0
7.9,-1.1,africa,2023,13,10,8.566
0.0,32.3,africa,2025,17,12,8.191
-29.4,25.9,africa,2023,5,5,
-3.2,29.5,africa,2025,32,29,12.726
-29.3,25.9,africa,2024,3,3,
30.8,-6.9,africa,2024,1,1,
-4.2,15.3,africa,2023,2,2,
-15.9,27.2,africa,2024,15,9,7.172
-1.0,29.6,africa,2025,13,8,6.801
-16.2,29.5,africa,2023,1,1,
-2.5,29.0,africa,2025,22,17,10.208
-13.8,29.1,africa,2023,1,1,
1.6,14.5,africa,2023,10,11,11.0
-4.3,15.2,africa,2023,3,3,
-3.3,29.5,africa,2025,9,9,
-0.8,36.4,africa,2023,19,15,9.195
-2.8,20.2,africa,2025,27,19,8.146
3.9,11.4,africa,2023,35,18,8.582
28.4,34.4,africa,2024,19,14,10.224
-1.5,36.9,africa,2025,1,1,
-16.0,35.6,africa,2023,33,20,8.766
9.0,38.7,africa,2023,65,23,8.504
9.0,38.7,africa,2024,6,8,
-19.1,16.5,africa,2023,1,1,
-10.6,33.8,africa,2023,18,14,8.938
9.0,38.7,africa,2025,18,13,8.382
-19.2,32.7,africa,2025,5,5,
25.6,32.6,africa,2024,1,2,
-8.9,33.3,africa,2025,5,14,
12.4,-12.3,africa,2024,11,9,8.364
-18.3,32.9,africa,2024,18,12,8.134
-34.1,18.5,africa,2023,5,5,
-18.5,32.7,africa,2024,24,12,7.903
-3.3,38.4,africa,2024,70,31,8.66
5.5,-0.2,africa,2024,4,4,
-0.3,30.0,africa,2025,21,8,6.594
31.1,-7.9,africa,2025,5,4,
-11.2,14.2,africa,2025,4,4,
-12.3,30.9,africa,2023,8,8,
5.1,-2.7,africa,2023,6,6,
6.6,-1.4,africa,2024,22,15,8.519
13.7,-16.5,africa,2024,13,11,9.308
-19.2,32.7,africa,2024,41,26,10.382
-23.0,14.4,africa,2023,2,2,
-34.0,18.4,africa,2024,23,22,12.037
-28.7,20.3,africa,2024,4,2,
-15.5,28.4,africa,2024,15,12,8.714
-29.9,30.9,africa,2025,15,10,8.333
6.6,-1.4,africa,2023,6,7,
-29.8,30.8,africa,2025,21,19,10.996
-3.4,38.3,africa,2023,22,13,7.712
-6.3,37.0,africa,2025,3,3,
-5.2,38.6,africa,2024,2,3,
7.0,2.2,africa,2024,8,9,
-15.4,35.3,africa,2023,4,4,
-3.4,38.3,africa,2024,44,16,7.269
8.2,-8.7,africa,2025,2,2,
-4.1,35.9,africa,2023,8,7,
-0.2,34.7,africa,2023,31,22,8.989
10.2,-11.9,africa,2023,4,5,
-21.3,47.5,africa,2024,3,4,
6.2,-0.6,africa,2023,16,12,8.429
2.0,16.1,africa,2024,81,14,6.699
33.9,-6.9,africa,2025,1,2,
-15.1,13.1,africa,2023,1,1,
-21.1,14.6,africa,2023,3,3,
-23.2,43.6,africa,2024,15,10,7.86
-8.1,14.9,africa,2023,5,5,
5.2,-2.7,africa,2023,29,21,9.383
-24.0,31.6,africa,2024,2,4,
7.3,5.0,africa,2023,2,4,
-15.7,46.3,africa,2024,1,1,
-7.4,36.9,africa,2023,2,4,
-3.6,39.8,africa,2023,16,11,8.463
36.4,6.6,africa,2025,5,8,
5.3,-1.5,africa,2023,15,14,10.545
2.6,14.4,africa,2024,18,18,11.944
0.4,30.3,africa,2023,14,14,10.0
36.4,6.6,africa,2023,1,1,
-12.6,30.2,africa,2023,20,16,9.053
-22.6,45.3,africa,2024,4,3,
-24.7,31.5,africa,2025,3,6,
-1.9,13.0,africa,2023,1,1,
-1.1,31.5,africa,2023,35,19,8.36
6.0,-3.6,africa,2023,11,8,7.364
6.1,-0.6,africa,2023,3,2,
-11.1,14.2,africa,2023,2,2,
-7.7,14.9,africa,2023,2,2,
8.1,-8.6,africa,2025,3,3,
-24.2,30.9,africa,2024,22,21,10.468
-34.2,18.9,africa,2023,1,1,
-24.0,30.6,africa,2023,1,1,
0.6,17.1,africa,2024,10,10,10.0
-9.4,14.7,africa,2025,2,3,
5.6,10.6,africa,2023,6,5,
-29.7,31.1,africa,2023,5,11,
-28.4,32.4,africa,2023,11,8,7.455
-11.2,14.2,africa,2023,2,2,
-1.6,9.2,africa,2024,5,4,
-0.3,30.0,africa,2023,1,1,
11.2,-15.1,africa,2023,10,7,7.0
-25.3,31.9,africa,2024,3,2,
-24.1,31.6,africa,2024,1,3,
-3.4,35.8,africa,2023,4,4,
-25.2,27.7,africa,2024,13,21,17.115
-1.1,29.7,africa,2025,2,2,
-29.4,26.4,africa,2024,8,8,
-17.9,31.0,africa,2024,3,3,
-2.6,37.7,africa,2024,1,1,
5.6,-0.1,africa,2025,9,10,
0.6,36.0,africa,2024,50,22,8.378
12.8,17.4,africa,2025,17,18,12.749
13.2,-16.6,africa,2025,4,3,
-27.0,27.2,africa,2025,5,5,
10.7,19.9,africa,2025,3,3,
-0.6,29.9,africa,2025,14,9,7.592
-1.8,13.0,africa,2023,8,9,
-18.2,24.3,africa,2025,9,7,
-2.0,30.2,africa,2025,9,8,
13.6,-15.0,africa,2025,3,2,
28.4,34.5,africa,2024,10,8,8.0
16.6,-15.0,africa,2024,2,2,
-19.7,63.4,africa,2024,2,3,
0.4,30.4,africa,2025,31,22,9.858
-18.7,25.9,africa,2024,14,7,6.209
6.3,-10.6,africa,2023,3,4,
-0.3,36.1,africa,2023,4,4,
16.5,-14.7,africa,2025,2,2,
-13.1,28.4,africa,2023,12,8,7.273
-34.1,18.5,africa,2025,2,4,
-24.4,30.7,africa,2025,10,9,9.0
-3.5,37.0,africa,2023,7,7,
-19.9,23.2,africa,2025,7,6,
13.7,-16.5,africa,2023,4,4,
14.1,-16.2,africa,2023,13,9,7.608
14.5,-17.1,africa,2025,6,8,
12.1,18.6,africa,2025,4,5,
0.2,30.1,africa,2025,17,8,6.978
18.1,-16.0,africa,2024,2,2,
-2.7,37.1,africa,2023,12,12,10.652
-3.4,36.6,africa,2024,4,3,
7.7,-8.9,africa,2025,3,4,
-4.0,29.6,africa,2025,19,14,10.471
-3.3,29.3,africa,2024,3,3,
-15.3,28.3,africa,2025,4,3,
6.6,-1.7,africa,2024,3,5,
-6.2,35.9,africa,2025,6,5,
-1.3,36.7,africa,2024,8,8,
-6.2,35.9,africa,2024,44,19,6.272
-34.1,18.7,africa,2024,1,1,
1.8,31.7,africa,2025,40,15,8.805
-1.3,36.7,africa,2023,16,17,12.17
-29.8,31.0,africa,2025,3,3,
-16.3,34.8,africa,2024,3,3,
7.1,3.4,africa,2023,2,2,
16.9,-13.4,africa,2024,9,11,
-25.3,27.1,africa,2024,3,1,
-34.1,20.4,africa,2023,3,4,
16.3,-16.3,africa,2025,3,3,
-29.1,26.2,africa,2024,13,8,6.769
-3.4,35.7,africa,2023,9,9,
-2.7,38.3,africa,2024,11,14,12.909
-1.6,29.6,africa,2025,9,8,
0.0,16.3,africa,2023,5,4,
-29.9,30.7,africa,2025,10,9,9.0
-16.1,35.0,africa,2024,8,8,
-11.7,34.2,africa,2023,7,5,
2.8,16.4,africa,2025,3,2,
2.8,16.3,africa,2025,18,8,5.15
12.2,-16.6,africa,2023,8,7,
-9.1,33.5,africa,2024,2,2,
0.4,30.4,africa,2023,39,29,9.26
-15.8,46.4,africa,2024,4,3,
-33.4,26.7,africa,2023,1,1,
-33.2,18.1,africa,2024,7,9,
-9.2,33.6,africa,2024,2,4,
-19.2,15.9,africa,2025,2,2,
-19.4,15.9,africa,2025,2,2,
-10.6,33.6,africa,2023,7,4,
-8.1,14.9,africa,2025,4,4,
-27.2,22.8,africa,2024,10,9,9.0
9.7,-13.6,africa,2025,5,4,
11.8,-15.6,africa,2023,8,6,
-2.0,30.6,africa,2025,10,11,11.0
-12.9,28.3,africa,2023,37,29,9.61
-0.4,36.1,africa,2023,5,4,
-23.9,31.1,africa,2024,6,6,
-5.2,38.6,africa,2023,3,4,
-0.4,36.8,africa,2024,5,7,
-1.4,36.7,africa,2024,7,7,
-4.1,37.8,africa,2023,2,3,
-29.5,26.6,africa,2023,2,2,
0.0,32.3,africa,2023,12,10,8.636
-16.6,28.5,africa,2023,3,3,
-13.0,28.3,africa,2024,4,3,
31.3,-5.9,africa,2025,6,4,
31.3,-6.0,africa,2024,13,5,4.497
2.5,9.8,africa,2024,3,3,
31.3,-5.9,africa,2024,20,8,6.141
1.5,31.4,africa,2024,2,3,
-0.1,30.0,africa,2023,4,4,
0.6,9.3,africa,2025,24,17,13.324
-29.5,26.0,africa,2023,2,4,
-28.2,32.5,africa,2025,12,10,8.939
-0.9,36.3,africa,2023,20,17,10.3
-1.2,36.6,africa,2023,3,3,
0.2,34.9,africa,2024,5,5,
-2.8,37.3,africa,2023,12,7,6.303
-1.6,35.3,africa,2023,15,10,7.527
-27.5,30.2,africa,2025,1,1,
-0.6,36.4,africa,2024,10,7,7.0
13.1,-16.8,africa,2023,3,2,
-20.9,27.5,africa,2024,2,2,
1.3,17.4,africa,2024,24,20,10.259
6.1,-1.4,africa,2023,5,4,
-18.9,48.3,africa,2023,8,5,
-18.2,21.6,africa,2024,7,5,
4.8,9.6,africa,2025,1,1,
16.5,-14.9,africa,2025,1,1,
6.1,-1.4,africa,2025,9,8,
-11.4,25.1,africa,2023,7,8,
-0.1,9.3,africa,2024,9,6,
5.5,-0.3,africa,2025,3,4,
16.9,-13.5,africa,2024,1,3,
-15.8,29.3,africa,2024,4,4,
2.2,35.4,africa,2023,1,1,
-13.5,48.3,africa,2024,1,1,
-3.2,35.5,africa,2024,7,7,
5.9,0.0,africa,2025,2,2,
-23.2,43.6,africa,2025,5,4,
9.2,-1.9,africa,2023,11,10,9.364
-25.2,26.9,africa,2023,2,2,
0.3,9.5,africa,2024,9,6,
-16.3,34.7,africa,2024,7,11,
-26.1,28.2,africa,2023,3,3,
-15.3,28.4,africa,2025,4,4,
-4.5,12.8,africa,2023,5,3,
6.5,2.6,africa,2024,1,1,
14.8,-16.9,africa,2025,1,1,
5.3,-1.4,africa,2024,18,14,8.824
7.0,2.1,africa,2024,1,1,
-26.0,30.5,africa,2024,5,8,
-34.6,19.4,africa,2023,1,1,
1.1,31.0,africa,2025,2,2,
5.3,-4.0,africa,2025,5,8,
-33.6,23.7,africa,2025,2,2,
4.8,-1.9,africa,2024,1,1,
8.9,38.7,africa,2024,5,5,
13.2,-16.3,africa,2023,6,5,
-2.7,37.2,africa,2023,2,2,
16.4,-16.3,africa,2024,1,1,
10.1,-11.9,africa,2023,2,2,
6.3,2.2,africa,2024,2,2,
-11.4,25.0,africa,2023,1,1,
-22.7,14.8,africa,2025,1,1,
-25.8,28.1,africa,2024,4,4,
12.1,15.0,africa,2024,3,3,
13.3,-16.7,africa,2025,4,4,
9.5,-12.5,africa,2024,1,1,
-25.5,31.4,africa,2024,5,7,
13.1,17.3,africa,2025,2,2,
-3.4,36.6,africa,2023,1,1,
12.6,-8.0,africa,2025,2,2,
-21.9,15.1,africa,2023,7,6,
-11.9,15.0,africa,2025,2,2,
-33.2,18.0,africa,2024,10,10,10.0
1.6,34.6,africa,2024,2,3,
-18.0,24.6,africa,2024,10,8,8.0
-26.2,27.9,africa,2024,2,4,
1.6,34.5,africa,2024,2,2,
10.0,-12.1,africa,2023,1,1,
8.9,39.8,africa,2024,4,7,
-2.7,37.2,africa,2024,1,1,
-15.9,27.2,africa,2025,13,8,6.958
-19.4,15.6,africa,2025,4,4,
-22.6,17.0,africa,2023,3,8,
30.0,-9.7,africa,2024,11,10,9.364
-33.3,19.7,africa,2024,2,2,
36.4,6.6,africa,2024,3,3,
31.2,-7.9,africa,2024,4,4,
36.3,6.6,africa,2024,12,9,8.106
31.1,-8.0,africa,2023,4,6,
-2.7,37.1,africa,2024,5,7,
0.4,35.6,africa,2025,1,1,
-2.5,34.7,africa,2024,1,1,
31.3,-6.1,africa,2025,6,5,
5.3,-4.1,africa,2025,4,5,
-0.2,11.6,africa,2024,18,17,9.967
-1.2,31.5,africa,2023,18,14,10.271
-2.2,9.6,africa,2023,2,2,
-29.1,25.6,africa,2023,1,1,
0.3,33.0,africa,2025,9,12,
-24.2,34.6,africa,2024,2,2,
-24.0,31.5,africa,2024,5,6,
1.7,31.5,africa,2024,1,3,
11.5,-14.7,africa,2023,9,5,
-29.1,25.7,africa,2023,1,1,
-29.2,26.1,africa,2023,11,9,8.364
-32.1,18.3,africa,2024,4,4,
-23.4,27.4,africa,2024,3,6,
-14.7,22.6,africa,2024,5,4,
8.3,-9.4,africa,2025,7,5,
-27.1,28.0,africa,2023,2,5,
-33.6,18.3,africa,2024,2,2,
0.5,37.8,africa,2024,3,2,
-26.5,27.6,africa,2023,12,10,8.803
-27.0,21.8,africa,2025,18,15,12.614
-29.4,27.3,africa,2023,6,4,
-32.7,19.7,africa,2024,1,1,
-27.9,25.7,africa,2024,7,6,
-29.2,26.2,africa,2023,3,3,
-24.4,30.9,africa,2023,3,4,
-30.4,24.5,africa,2024,7,7,
-30.2,26.9,africa,2023,4,3,
-24.7,15.8,africa,2025,6,5,
-25.3,31.5,africa,2025,2,2,
-27.7,17.7,africa,2023,5,7,
-24.0,29.8,africa,2023,5,5,
-34.0,18.4,africa,2023,6,4,
-29.5,26.7,africa,2023,1,1,
-19.1,16.4,africa,2025,25,13,7.388
-28.8,26.0,africa,2025,14,8,6.548
-28.1,26.2,africa,2023,3,3,
-18.0,25.8,africa,2025,13,12,10.0
-29.3,26.0,africa,2024,4,4,
-34.4,18.9,africa,2024,9,8,
-26.1,32.9,africa,2024,11,11,10.0
-25.2,28.1,africa,2023,2,2,
-25.0,30.7,africa,2023,7,5,
-21.3,47.3,africa,2024,3,3,
-34.1,20.4,africa,2024,9,8,
-34.0,20.8,africa,2024,17,12,8.6
-15.5,28.4,africa,2023,6,4,
-1.0,30.2,africa,2023,1,1,
-28.5,27.2,africa,2024,1,1,
-29.3,26.0,africa,2023,6,6,
-34.0,19.1,africa,2025,5,3,
-25.3,33.2,africa,2023,1,1,
-27.8,32.3,africa,2023,1,1,
-33.4,26.5,africa,2023,4,4,
-6.4,39.5,africa,2025,4,5,
-0.6,30.9,africa,2023,2,2,
-11.7,25.2,africa,2023,1,2,
-3.4,39.9,africa,2023,3,3,
-15.8,46.3,africa,2023,1,1,
0.6,9.3,africa,2024,5,5,
-1.8,12.9,africa,2023,20,17,9.684
-17.9,19.6,africa,2023,5,4,
-20.0,23.4,africa,2024,1,1,
-8.3,36.0,africa,2025,3,2,
-3.5,35.7,africa,2023,3,3,
-3.4,15.5,africa,2024,4,3,
-17.9,19.4,africa,2025,7,12,
-9.7,14.0,africa,2024,1,2,
-19.2,23.4,africa,2024,1,2,
16.1,-16.3,africa,2025,1,1,
-29.1,26.2,africa,2023,9,9,
-0.4,36.9,africa,2024,4,6,
-9.7,14.0,africa,2025,1,1,
-6.9,39.0,africa,2024,10,8,8.0
0.7,17.1,africa,2024,1,2,
11.6,-14.7,africa,2023,4,4,
-29.2,26.0,africa,2023,1,2,
-15.6,46.4,africa,2024,2,1,
5.7,0.8,africa,2024,1,1,
0.5,37.6,africa,2024,9,8,
-34.1,18.7,africa,2023,1,1,
-33.2,20.4,africa,2023,3,3,
5.3,-1.5,africa,2024,9,7,
-3.5,35.8,africa,2023,3,2,
-32.9,19.7,africa,2024,6,6,
16.5,-15.5,africa,2024,2,1,
-15.6,46.4,africa,2023,4,3,
9.5,-2.0,africa,2023,10,9,9.0
-34.3,20.2,africa,2023,8,8,
-3.1,34.9,africa,2024,5,5,
11.5,-15.0,africa,2023,5,4,
-15.3,25.9,africa,2024,4,2,
-25.7,28.2,africa,2023,9,8,
-15.5,28.4,africa,2025,10,9,9.0
-15.3,25.9,africa,2025,2,2,
1.4,32.0,africa,2025,18,14,9.722
-1.3,36.7,africa,2025,5,5,
-0.5,37.3,africa,2024,2,3,
-15.6,35.1,africa,2024,1,1,
3.5,39.0,africa,2023,1,1,
-0.5,36.1,africa,2023,1,2,
-28.3,27.7,africa,2024,5,5,
-6.2,35.9,africa,2023,2,3,
-29.3,29.5,africa,2024,8,8,
-26.4,18.4,africa,2023,7,9,
14.6,-17.2,africa,2023,4,4,
